SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
R,8.68457,20.7051,-4.57378,-1.29618,9.84634,20.009,8.63315,20.8003,-4.76608,-1.2372,4.40283
L,8.40444,20.6227,-4.62081,-1.43358,8.22277,20.4839,8.39557,20.7358,-4.74108,-1.34701,2.83878
R,8.17617,20.5426,-4.58219,-1.56803,8.29647,20.4978,8.1593,20.6657,-4.71387,-1.45542,0.0895793
L,7.9324,20.4629,-4.56927,-1.6782,7.88599,20.45,7.92445,20.5903,-4.68453,-1.56237,0.134987
R,7.71645,20.3767,-4.5177,-1.82922,8.29081,20.6565,7.69111,20.5096,-4.65313,-1.66781,3.46938
L,7.40219,20.3199,-4.6421,-1.87241,7.18029,20.392,7.45939,20.4237,-4.61975,-1.7717,3.42349
R,7.1694,20.2238,-4.59677,-1.97072,7.09214,20.1196,7.22939,20.3326,-4.58448,-1.87399,0.225987
L,6.90326,20.1411,-4.62337,-2.04247,6.81542,20.1859,7.00119,20.2364,-4.54738,-1.97462,0.615382
R,6.67755,20.0499,-4.57145,-2.10683,6.89359,20.1536,6.7749,20.1352,-4.50854,-2.07357,0.512116
L,6.42956,19.9584,-4.56754,-2.17755,6.38914,20.0137,6.55059,20.0292,-4.46805,-2.17079,0.285275
R,6.21266,19.865,-4.50979,-2.24723,6.67637,20.2142,6.32834,19.9183,-4.42598,-2.26625,2.88556
L,5.94881,19.7714,-4.54071,-2.30219,5.86119,19.8306,6.10823,19.8027,-4.38241,-2.35993,0.707037
R,5.71666,19.6262,-4.49553,-2.4943,5.28178,19.5036,5.89034,19.6824,-4.33744,-2.45178,1.88357
L,5.54501,19.5024,-4.3476,-2.59341,5.69089,19.5755,5.67472,19.5577,-4.29114,-2.5418,1.52809
R,5.34327,19.3534,-4.25389,-2.73278,5.9506,18.9859,5.46145,19.4284,-4.24359,-2.62995,1.77102
L,5.13178,19.2514,-4.20904,-2.76991,5.17021,19.4397,5.25059,19.2948,-4.19488,-2.71622,1.94945
R,4.94267,19.1394,-4.11763,-2.77614,5.87397,19.301,5.04219,19.157,-4.1451,-2.80059,4.68552
L,4.7832,18.9883,-3.96902,-2.88552,4.89149,18.982,4.8363,19.015,-4.09432,-2.88305,0.741364
R,4.57318,18.8383,-3.92923,-3.00868,3.98679,19.0452,4.63297,18.8689,-4.04263,-2.96359,1.49879
L,4.39766,18.7066,-3.83438,-3.06587,4.4685,18.834,4.43224,18.7188,-3.99012,-3.0422,1.12149
R,4.21837,18.5641,-3.74527,-3.09299,4.69245,18.4634,4.23416,18.5648,-3.93685,-3.11888,1.31367
L,4.09681,18.4094,-3.55722,-3.17603,4.26269,18.481,4.03876,18.4071,-3.88293,-3.19362,1.92688
R,3.90955,18.2369,-3.50879,-3.37355,3.42434,18.8357,3.84606,18.2457,-3.82841,-3.26644,7.27125
L,3.64998,18.0952,-3.60608,-3.40594,3.45919,18.167,3.65611,18.0807,-3.77339,-3.33732,2.67073
R,3.49007,17.9447,-3.4997,-3.40203,4.3011,17.9267,3.46891,17.9122,-3.71795,-3.40627,3.40323
L,3.26072,17.7774,-3.53677,-3.46291,3.12525,17.7493,3.28449,17.7402,-3.66215,-3.47331,1.18428
R,3.07859,17.5937,-3.47479,-3.60523,2.65664,17.888,3.10287,17.565,-3.60609,-3.53844,2.34862
L,2.90174,17.4758,-3.43801,-3.57654,2.9449,17.8154,2.92405,17.3866,-3.54982,-3.60167,6.1623
R,2.75646,17.2597,-3.29435,-3.78173,3.26647,17.0897,2.74805,17.2051,-3.49344,-3.66302,3.08668
L,2.58117,17.0733,-3.23465,-3.84876,2.55407,17.0853,2.57486,17.0205,-3.437,-3.72251,0.0568005
R,2.41934,16.9075,-3.16408,-3.80033,2.55039,16.8884,2.4045,16.833,-3.38059,-3.78014,2.13809
L,2.2559,16.7352,-3.10748,-3.83551,2.25371,16.8334,2.23695,16.6427,-3.32428,-3.83595,0.513041
R,2.08201,16.5395,-3.06841,-3.85395,1.57735,16.0489,2.07221,16.4497,-3.26812,-3.88995,4.9605
L,1.92628,16.3091,-2.98436,-3.969,1.88972,16.1054,1.91027,16.254,-3.21219,-3.94216,2.24113
R,1.77209,16.133,-2.93088,-3.94365,1.74362,16.2687,1.75112,16.0557,-3.15656,-3.99261,1.02258
L,1.56636,15.9643,-2.99596,-3.94317,1.44745,16.0853,1.59474,15.8549,-3.10129,-4.04132,1.76025
R,1.43674,15.7333,-2.8706,-4.11228,1.6097,15.5526,1.44111,15.6517,-3.04644,-4.08832,2.03289
L,1.26328,15.5147,-2.85464,-4.18028,1.18395,15.4284,1.29021,15.4463,-2.99207,-4.13364,0.769125
R,1.10707,15.3219,-2.81955,-4.18309,0.828993,15.528,1.14201,15.2386,-2.93825,-4.1773,0.988282
